slider-titles	rep	col	col-auto	rep 2	col 2	col-auto 2
STATE REPRESENTATIVE DISTRICT 108	R	MORGAN MEYER	58,684	D	ELIZABETH GINSBERG	42,584
STATE REPRESENTATIVE DISTRICT 109	D	AICHA DAVIS	55,496			
STATE REPRESENTATIVE DISTRICT 110	D	TONI ROSE	30,096			
STATE REPRESENTATIVE DISTRICT 111	D	YVONNE DAVIS	52,171			
STATE REPRESENTATIVE DISTRICT 112	R	ANGIE CHEN BUTTON	46,671	D	AVERIE BISHOP	39,740
STATE REPRESENTATIVE DISTRICT 113	D	RHETTA ANDREWS BOWERS	33,083	R	STEPHEN STANLEY	25,497
STATE REPRESENTATIVE DISTRICT 114	D	JOHN BRYANT	42,283	R	AIMEE RAMSEY	25,461
STATE REPRESENTATIVE DISTRICT 115	D	CASSANDRA HERNANDEZ	36,894	R	JOHN JUN	31,265
STATE REPRESENTATIVE DISTRICT 116	D	TREY MARTINEZ FISCHER	37,920	R	DARRYL W CRAIN	19,542
STATE REPRESENTATIVE DISTRICT 117	D	PHILIP CORTEZ	39,874	R	BEN MOSTYN	28,892
STATE REPRESENTATIVE DISTRICT 118	R	JOHN LUJAN III	39,131	D	KRISTIAN CARRANZA	36,461
STATE REPRESENTATIVE DISTRICT 119	D	"ELIZABETH  ""LIZ"" CAMPOS"	38,007	R	BRANDON J. GRABLE	21,686
STATE REPRESENTATIVE DISTRICT 120	D	BARBARA GERVIN-HAWKINS	37,987			
STATE REPRESENTATIVE DISTRICT 121	R	MARC LAHOOD	50,807	D	LAUREL JORDAN SWIFT	45,816
STATE REPRESENTATIVE DISTRICT 122	R	MARK DORAZIO	63,796	D	KEVIN GEARY	45,927
STATE REPRESENTATIVE DISTRICT 123	D	DIEGO BERNAL	43,824			
STATE REPRESENTATIVE DISTRICT 124	D	JOSEY GARCIA	30,217	R	SYLVIA SOTO	18,880
STATE REPRESENTATIVE DISTRICT 125	D	RAY LOPEZ	48,095			
STATE REPRESENTATIVE DISTRICT 126	R	E. SAM HARLESS	59,332	W	SARAH SMITH	369
STATE REPRESENTATIVE DISTRICT 127	R	CHARLES CUNNINGHAM	54,765	D	JOHN LEHR	35,599
STATE REPRESENTATIVE DISTRICT 128	R	BRISCOE CAIN	45,203	D	CHUCK CREWS	19,023
STATE REPRESENTATIVE DISTRICT 129	R	DENNIS PAUL	52,124	D	DOUG PETERSON	33,412
STATE REPRESENTATIVE DISTRICT 130	R	TOM OLIVERSON	62,936	D	BRETT ROBINSON	28,406
STATE REPRESENTATIVE DISTRICT 131	D	ALMA A. ALLEN	36,579			
STATE REPRESENTATIVE DISTRICT 132	R	MIKE SCHOFIELD	53,667	D	CHASE WEST	37,535
STATE REPRESENTATIVE DISTRICT 133	R	MANO DEAYALA	53,765			
STATE REPRESENTATIVE DISTRICT 134	D	ANN JOHNSON	59,982	R	AUDREY DOUGLAS	38,152
STATE REPRESENTATIVE DISTRICT 135	D	JON E. ROSENTHAL	42,899			
STATE REPRESENTATIVE DISTRICT 136	D	JOHN H. BUCY III	45,024	R	AMIN SALAHUDDIN	27,579
STATE REPRESENTATIVE DISTRICT 137	D	GENE WU	19,079	L	LEE SHARP	5,958
STATE REPRESENTATIVE DISTRICT 138	R	LACEY HULL	41,672	D	STEPHANIE MORALES	31,240
STATE REPRESENTATIVE DISTRICT 139	D	CHARLENE WARD JOHNSON	45,788			
STATE REPRESENTATIVE DISTRICT 140	D	ARMANDO LUCIO WALLE	22,106			
STATE REPRESENTATIVE DISTRICT 141	D	SENFRONIA THOMPSON	32,169			
STATE REPRESENTATIVE DISTRICT 142	D	HAROLD V. DUTTON JR	41,075			
STATE REPRESENTATIVE DISTRICT 143	D	ANA HERNANDEZ	27,561			
STATE REPRESENTATIVE DISTRICT 144	D	MARY ANN PEREZ	26,434			
STATE REPRESENTATIVE DISTRICT 145	D	CHRISTINA MORALES	45,690			
STATE REPRESENTATIVE DISTRICT 146	D	LAUREN ASHLEY SIMMONS	42,287	R	LANCE YORK	12,165
STATE REPRESENTATIVE DISTRICT 147	D	JOLANDA  JONES	47,350	R	CLAUDIO GUTIERREZ	16,245
STATE REPRESENTATIVE DISTRICT 148	D	PENNY MORALES SHAW	28,021	R	KAY SMITH	23,093
STATE REPRESENTATIVE DISTRICT 149	D	HUBERT VO	26,658	R	LILY TRUONG	20,179
STATE REPRESENTATIVE DISTRICT 150	R	VALOREE SWANSON	47,754	D	"MARISELA ""MJ"" JIMENEZ"	31,880
CHIEF JUSTICE, 2ND COURT OF APPEALS DISTRICT	R	BONNIE SUDDERTH	1,063,658			
CHIEF JUSTICE, 5TH COURT OF APPEALS DISTRICT	R	"JUSTIN JAY ""J.J."" KOCH"	762,037	D	STACI WILLIAMS	743,853
CHIEF JUSTICE, 8TH COURT OF APPEALS DISTRICT - UNEXPIRED TERM	D	MARIA  SALAS MENDOZA	175,266			
CHIEF JUSTICE, 10TH COURT OF APPEALS DISTRICT	R	MATT JOHNSON	407,806			
CHIEF JUSTICE, 11TH COURT OF APPEALS DISTRICT	R	JOHN BAILEY	243,688			
CHIEF JUSTICE, 13TH COURT OF APPEALS DISTRICT	R	JAIME TIJERINA	339,878	D	GINA BENAVIDES	258,592
JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 2	R	JENNIFER CAUGHEY	1,190,615	D	BRENDETTA SCOTT	1,039,480
JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 6	R	ANDREW JOHNSON	1,177,178	D	SARAH BETH LANDAU	1,045,536
JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 7	R	CLINT MORGAN	1,168,295	D	JULIE COUNTISS	1,051,661
JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 8	R	KRISTIN M. GUINEY	1,174,564	D	RICHARD HIGHTOWER	1,043,993
JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 9	R	SUSANNA DOKUPIL	1,169,396	D	AMBER BOYD-CORA	1,042,195
JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 4	R	WADE BIRDWELL	1,049,468			
JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 5	R	DABNEY BASSEL	1,043,047			
JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 6	R	MIKE WALLACH	1,040,222			
JUSTICE, 3RD COURT OF APPEALS DISTRICT, PLACE 2	D	MAGGIE ELLIS	698,883	R	JOHN MESSINGER	674,572
JUSTICE, 3RD COURT OF APPEALS DISTRICT, PLACE 3	D	CHARI KELLY	859,014			
JUSTICE, 3RD COURT OF APPEALS DISTRICT, PLACE 5	D	KARIN CRUMP	847,152			
JUSTICE, 3RD COURT OF APPEALS DISTRICT, PLACE 6	D	GISELA D. TRIANA	844,676			
JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2	D	VELIA J. MEZA	729,825			
JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3	R	TODD MCCRAY	560,095	D	CYNTHIA MARIE CHAPA	530,129
JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4	R	LORI MASSEY BRISSETTE	566,040	D	LUZ ELENA CHAPA	523,659
JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5	R	ADRIAN SPEARS	556,881	D	LIZA A. RODRIGUEZ	532,397
JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7	R	LORI I. VALENZUELA	726,327			
JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 10	R	EARL JACKSON	755,118	D	AMANDA REICHEK	746,206
JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 11	R	GINO J. ROSSINI	759,817	D	KIM COOKS	740,780
JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 12	R	MIKE LEE	764,773	D	KEN MOLBERG	736,056
JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 13	R	EMILY A. MISKEL	755,171	D	TONYA PARKER	745,529
